index,titleId,ordering,title,region,language,types,attributes,isOriginalTitle,tconst_x,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,tconst_y,averageRating,numVotes
58,tt0000838,3,Cultura do Cacau em S. Tome,BR,\N,alternative,\N,0,tt0000838,movie,A Cultura do Cacau,A Cultura do Cacau,0,1909,\N,\N,\N,tt0000838,2.8,18.0
98,tt0002130,10,Inferno,BR,\N,imdbDisplay,\N,0,tt0002130,movie,Dante's Inferno,L'inferno,0,1911,\N,71,"Adventure,Drama,Fantasy",tt0002130,7.1,4094.0
100,tt0002199,2,Da Manjedoura à Cruz,BR,\N,imdbDisplay,\N,0,tt0002199,movie,From the Manger to the Cross,From the Manger to the Cross,0,1912,\N,71,"Biography,Drama",tt0002199,5.9,708.0
103,tt0002423,2,Madame DuBarry,BR,\N,imdbDisplay,\N,0,tt0002423,movie,Passion,Madame DuBarry,0,1919,\N,113,"Biography,Drama,Romance",tt0002423,6.7,1126.0
115,tt0003131,6,Maldita seja a guerra!,BR,\N,imdbDisplay,\N,0,tt0003131,movie,War Is Hell,Maudite soit la guerre,0,1914,\N,50,"Drama,War",tt0003131,6.6,212.0
119,tt0003419,2,O Estudante de Praga,BR,\N,imdbDisplay,\N,0,tt0003419,movie,The Student of Prague,Der Student von Prag,0,1913,\N,83,"Drama,Fantasy,Horror",tt0003419,6.4,2698.0
120,tt0003423,2,A flor do pântano,BR,\N,imdbDisplay,\N,0,tt0003423,movie,Die Sumpfblume,Die Sumpfblume,0,1913,\N,53,\N,,,
121,tt0003471,8,Tráfico de Almas,BR,\N,imdbDisplay,\N,0,tt0003471,movie,Traffic in Souls,Traffic in Souls,0,1913,\N,88,"Crime,Drama",tt0003471,6.0,796.0
122,tt0003489,9,Os Últimos Dias de Pompeia,BR,\N,imdbDisplay,\N,0,tt0003489,movie,The Last Days of Pompeii,Gli ultimi giorni di Pompei,0,1913,\N,107,"Adventure,Drama",tt0003489,6.1,678.0
123,tt0003622,2,Amor de Perdição,BR,\N,imdbDisplay,\N,0,tt0003622,movie,Love of Perdition,Amor de Perdição,0,1914,\N,\N,Drama,,,
124,tt0003637,8,Sangue Napolitano,BR,\N,imdbDisplay,\N,0,tt0003637,movie,Assunta Spina,Assunta Spina,0,1915,\N,72,Drama,tt0003637,6.2,533.0
125,tt0003643,2,Consciência Vingadora,BR,\N,imdbDisplay,\N,0,tt0003643,movie,The Avenging Conscience: or 'Thou Shalt Not Kill',The Avenging Conscience: or 'Thou Shalt Not Kill',0,1914,\N,78,"Crime,Drama,Horror",tt0003643,6.4,1577.0
129,tt0003724,3,Para a Terra do Ouro,BR,\N,imdbDisplay,\N,0,tt0003724,movie,In the Days of the Thundering Herd,In the Days of the Thundering Herd,0,1914,\N,48,"Drama,Western",tt0003724,5.4,46.0
130,tt0003743,5,Na Romântica Nova York,BR,\N,imdbDisplay,\N,0,tt0003743,movie,The Call of the North,The Call of the North,0,1914,\N,\N,"Adventure,Drama",tt0003743,5.1,58.0
132,tt0003772,2,Cinderella,BR,\N,imdbDisplay,\N,0,tt0003772,movie,Cinderella,Cinderella,0,1914,\N,52,"Drama,Fantasy",tt0003772,6.0,1144.0
134,tt0003854,11,Música da Serra,BR,\N,imdbDisplay,\N,0,tt0003854,movie,Dodge City Trail,Dodge City Trail,0,1936,\N,56,"Drama,Music,Western",tt0003854,3.7,31.0
136,tt0003897,27,Os Mistérios de Nova York,BR,\N,imdbDisplay,\N,0,tt0003897,movie,The Exploits of Elaine,The Exploits of Elaine,0,1914,\N,220,Action,tt0003897,6.1,111.0
149,tt0004121,6,O Cão dos Baskervilles,BR,\N,imdbDisplay,\N,0,tt0004121,movie,The Hound of the Baskervilles (1914),Der Hund von Baskerville,0,1914,\N,65,"Crime,Horror,Mystery",tt0004121,5.5,192.0
150,tt0004134,2,Hipócritas,BR,\N,imdbDisplay,\N,0,tt0004134,movie,Hypocrites,Hypocrites,0,1915,\N,54,"Drama,Fantasy",tt0004134,6.4,834.0
151,tt0004150,11,Na Terra dos Caçadores de Cabeça,BR,\N,imdbDisplay,\N,0,tt0004150,movie,In the Land of the Head Hunters,In the Land of the Head Hunters,0,1914,\N,65,"Drama,History",tt0004150,5.8,594.0
152,tt0004181,13,Judith de Betúlia,BR,\N,imdbDisplay,\N,0,tt0004181,movie,Judith of Bethulia,Judith of Bethulia,0,1914,\N,61,Drama,tt0004181,6.2,1540.0
163,tt0004294,2,Pisada Reveladora,BR,pt,\N,\N,0,tt0004294,movie,The Man from Home,The Man from Home,0,1914,\N,\N,Drama,tt0004294,6.6,31.0
168,tt0004465,6,As Aventuras de Elaine,BR,\N,alternative,\N,0,tt0004465,movie,The Perils of Pauline,The Perils of Pauline,0,1914,\N,199,"Action,Adventure,Drama",tt0004465,6.3,1124.0
169,tt0004465,9,Os Perigos de Paulina,BR,\N,imdbDisplay,\N,0,tt0004465,movie,The Perils of Pauline,The Perils of Pauline,0,1914,\N,199,"Action,Adventure,Drama",tt0004465,6.3,1124.0
175,tt0004635,4,Amor de Índio,BR,\N,imdbDisplay,\N,0,tt0004635,movie,The Squaw Man,The Squaw Man,0,1914,\N,74,"Action,Drama,Romance",tt0004635,5.6,1152.0
179,tt0004707,19,Idilio Desfeito,BR,\N,imdbDisplay,\N,0,tt0004707,movie,Tillie's Punctured Romance,Tillie's Punctured Romance,0,1914,\N,82,Comedy,tt0004707,6.2,3909.0
180,tt0004707,25,O Casamento de Carlitos,BR,\N,\N,\N,0,tt0004707,movie,Tillie's Punctured Romance,Tillie's Punctured Romance,0,1914,\N,82,Comedy,tt0004707,6.2,3909.0
181,tt0004707,26,O Grande Romance de Charlie,BR,\N,tv,\N,0,tt0004707,movie,Tillie's Punctured Romance,Tillie's Punctured Romance,0,1914,\N,82,Comedy,tt0004707,6.2,3909.0
182,tt0004707,7,Carlitos - O Inesquecível,BR,\N,\N,\N,0,tt0004707,movie,Tillie's Punctured Romance,Tillie's Punctured Romance,0,1914,\N,82,Comedy,tt0004707,6.2,3909.0
184,tt0004766,5,O Paladino da Vitória,BR,\N,imdbDisplay,\N,0,tt0004766,movie,The Virginian,The Virginian,0,1914,\N,55,"Drama,Western",tt0004766,5.6,292.0
185,tt0004792,2,A Revelação do Amado,BR,\N,imdbDisplay,\N,0,tt0004792,movie,What's His Name,What's His Name,0,1914,\N,50,"Comedy,Drama",tt0004792,6.6,33.0
186,tt0004838,4,A Colera dos Deuses ou A Destruição de Sakura Jima,BR,\N,imdbDisplay,\N,0,tt0004838,movie,The Wrath of the Gods,The Wrath of the Gods,0,1914,\N,56,"Drama,Romance",tt0004838,5.8,225.0
188,tt0004972,21,O Nascimento de Uma Nação,BR,\N,imdbDisplay,\N,0,tt0004972,movie,The Birth of a Nation,The Birth of a Nation,0,1915,\N,195,"Drama,War",tt0004972,6.1,28235.0
191,tt0005076,8,A Tia de Carlitos,BR,\N,imdbDisplay,\N,0,tt0005076,movie,Charley's Aunt,Charley's Aunt,0,1925,\N,80,Comedy,tt0005076,6.5,86.0
193,tt0005078,9,Enganar e Perdoar,BR,\N,imdbDisplay,\N,0,tt0005078,movie,The Cheat,The Cheat,0,1915,\N,59,"Drama,Romance",tt0005078,6.5,3062.0
194,tt0005170,2,The Dancing Girl,BR,\N,imdbDisplay,\N,0,tt0005170,movie,The Dancing Girl,The Dancing Girl,0,1915,\N,\N,Drama,,,
195,tt0005180,2,A Aurora de um Amanhã,BR,\N,imdbDisplay,\N,0,tt0005180,movie,The Dawn of a Tomorrow,The Dawn of a Tomorrow,0,1915,\N,50,Drama,tt0005180,7.1,31.0
196,tt0005192,4,Gioconda,BR,\N,imdbDisplay,\N,0,tt0005192,movie,The Devil's Daughter,The Devil's Daughter,0,1915,\N,50,Drama,tt0005192,6.7,27.0
198,tt0005339,9,Escravo de uma Paixão,BR,\N,imdbDisplay,\N,0,tt0005339,movie,A Fool There Was,A Fool There Was,0,1915,\N,67,Drama,tt0005339,5.7,1162.0
201,tt0005393,6,Sonhos de Moça,BR,pt,\N,\N,0,tt0005393,movie,The Girl of the Golden West,The Girl of the Golden West,0,1915,\N,45,"Drama,Romance,Western",tt0005393,5.3,99.0
205,tt0005529,5,A noite da Vingança,BR,\N,imdbDisplay,\N,0,tt0005529,movie,Blind Justice,Hævnens nat,0,1916,\N,100,"Crime,Drama,Horror",tt0005529,6.6,474.0
209,tt0005680,2,Maciste,BR,\N,imdbDisplay,\N,0,tt0005680,movie,Marvelous Maciste,Maciste,0,1915,\N,67,Adventure,tt0005680,5.9,239.0
210,tt0005682,3,Madame Butterfly,BR,\N,imdbDisplay,\N,0,tt0005682,movie,Madame Butterfly,Madame Butterfly,0,1915,\N,61,Drama,tt0005682,5.2,107.0
211,tt0005808,10,Os Mistérios de Nova York,BR,\N,imdbDisplay,\N,0,tt0005808,movie,The New Exploits of Elaine,The New Exploits of Elaine,0,1915,\N,\N,"Action,Adventure",tt0005808,5.4,38.0
214,tt0005814,2,Niobe,BR,\N,imdbDisplay,\N,0,tt0005814,movie,Niobe,Niobe,0,1915,\N,\N,"Comedy,Drama",,,
220,tt0005916,5,Depois da Morte,BR,\N,imdbDisplay,\N,0,tt0005916,movie,After Death,Posle smerti,0,1915,\N,46,"Drama,Horror",tt0005916,6.8,1130.0
221,tt0005929,5,O Príncipe de Pep,BR,\N,imdbDisplay,\N,0,tt0005929,movie,The Prince of Pep,The Prince of Pep,0,1925,\N,\N,"Drama,Thriller",,,
223,tt0005951,4,Rapsódia Satânica,BR,\N,imdbDisplay,\N,0,tt0005951,movie,Satan's Rhapsody,Rapsodia satanica,0,1917,\N,55,"Drama,Fantasy,Horror",tt0005951,6.6,989.0
224,tt0005960,5,Regeneração,BR,\N,imdbDisplay,\N,0,tt0005960,movie,The Regeneration,The Regeneration,0,1915,\N,72,"Biography,Crime,Drama",tt0005960,6.8,1562.0
225,tt0005974,4,Os Mistérios de Nova York,BR,\N,imdbDisplay,\N,0,tt0005974,movie,The Romance of Elaine,The Romance of Elaine,0,1915,\N,\N,Adventure,tt0005974,6.8,32.0
233,tt0006206,10,Os Vampiros,BR,\N,imdbDisplay,\N,0,tt0006206,movie,Les Vampires,Les vampires,0,1915,\N,421,"Action,Adventure,Crime",tt0006206,7.3,5875.0
237,tt0006333,14,20.000 Léguas Submarinas,BR,\N,imdbDisplay,\N,0,tt0006333,movie,"20,000 Leagues Under the Sea","20,000 Leagues Under the Sea",0,1916,\N,105,"Action,Adventure,Sci-Fi",tt0006333,6.1,2233.0
242,tt0006481,5,A Rainha da Bolsa,BR,\N,imdbDisplay,\N,0,tt0006481,movie,Die Börsenkönigin,Die Börsenkönigin,0,1918,\N,53,"Drama,Romance",tt0006481,6.0,88.0
243,tt0006511,6,A Paixão de Nosso Senhor Jesus Cristo,BR,\N,imdbDisplay,\N,0,tt0006511,movie,Christus,Christus,0,1916,\N,88,Drama,tt0006511,6.4,98.0
244,tt0006517,5,Civilização,BR,\N,imdbDisplay,\N,0,tt0006517,movie,Civilization,Civilization,0,1916,\N,85,"Drama,War",tt0006517,5.8,473.0
246,tt0006617,14,O Beijo da Morte,BR,\N,imdbDisplay,\N,0,tt0006617,movie,Kiss of Death,Dödskyssen,0,1916,\N,65,"Comedy,Crime,Drama",tt0006617,6.1,293.0
247,tt0006637,4,Eterna Tormenta,BR,\N,imdbDisplay,\N,0,tt0006637,movie,The Eternal Grind,The Eternal Grind,0,1916,\N,\N,Drama,tt0006637,7.2,24.0
248,tt0006638,2,A Eterna Safo,BR,\N,imdbDisplay,\N,0,tt0006638,movie,The Eternal Sappho,The Eternal Sappho,0,1916,\N,50,Drama,tt0006638,6.6,23.0
253,tt0006738,2,The Grasp of Greed,BR,\N,imdbDisplay,\N,0,tt0006738,movie,The Grasp of Greed,The Grasp of Greed,0,1916,\N,50,"Drama,Romance",,,
254,tt0006761,8,Predadores Do Mar,BR,\N,imdbDisplay,\N,0,tt0006761,movie,Havsgamar,Havsgamar,0,1916,\N,51,"Crime,Drama",tt0006761,5.9,104.0
255,tt0006780,5,As Portas do Inferno,BR,\N,imdbDisplay,\N,0,tt0006780,movie,Hell's Hinges,Hell's Hinges,0,1916,\N,64,"Drama,Romance,Western",tt0006780,6.7,1184.0
256,tt0006831,6,Hulda da Holanda,BR,\N,imdbDisplay,\N,0,tt0006831,movie,Hulda from Holland,Hulda from Holland,0,1916,\N,\N,Drama,tt0006831,6.4,25.0
257,tt0006864,16,Intolerância,BR,\N,imdbDisplay,\N,0,tt0006864,movie,Intolerance,Intolerance: Love's Struggle Throughout the Ages,0,1916,\N,210,"Drama,History",tt0006864,7.7,17920.0
268,tt0007165,4,O Correio de Washington,BR,\N,imdbDisplay,\N,0,tt0007165,movie,Pearl of the Army,Pearl of the Army,0,1916,\N,\N,\N,tt0007165,6.0,20.0
269,tt0007185,2,O Calvário,BR,\N,imdbDisplay,\N,0,tt0007185,movie,The Pillory,The Pillory,0,1916,\N,\N,Drama,,,
271,tt0007202,5,Pobre Pepinasinha,BR,\N,imdbDisplay,\N,0,tt0007202,movie,Poor Little Peppina,Poor Little Peppina,0,1916,\N,48,Drama,tt0007202,6.1,101.0
272,tt0007229,2,Purity,BR,\N,imdbDisplay,\N,0,tt0007229,movie,Purity,Purity,0,1916,\N,70,Drama,tt0007229,5.8,30.0
276,tt0007309,13,Sapataria Pinkus,BR,\N,imdbDisplay,\N,0,tt0007309,movie,Shoe Palace Pinkus,Schuhpalast Pinkus,0,1916,\N,45,Comedy,tt0007309,5.6,350.0
277,tt0007313,2,O reino secreto,BR,\N,imdbDisplay,\N,0,tt0007313,movie,The Secret Kingdom,The Secret Kingdom,0,1917,\N,\N,"Adventure,Romance,Thriller",tt0007313,5.0,24.0
278,tt0007325,2,A Serpente,BR,\N,imdbDisplay,\N,0,tt0007325,movie,The Serpent,The Serpent,0,1916,\N,60,Drama,tt0007325,4.9,26.0
280,tt0007340,6,Sapatos,BR,\N,imdbDisplay,\N,0,tt0007340,movie,Shoes,Shoes,0,1916,\N,60,Drama,tt0007340,7.0,908.0
